"Kod";"Nazwa";"rok;2021;[%]";
2464000;"Powiat m.Częstochowa";100,00;
2465000;"Powiat m.Dąbrowa Górnicza";100,00;
2466000;"Powiat m.Gliwice";100,00;
2467000;"Powiat m.Jastrzębie-Zdrój";100,00;
2468000;"Powiat m.Jaworzno";100,00;
2469000;"Powiat m.Katowice";100,00;
2470000;"Powiat m.Mysłowice";100,00;
2471000;"Powiat m.Piekary Śląskie";100,00;
2472000;"Powiat m.Ruda Śląska";100,00;
2473000;"Powiat m.Rybnik";100,00;
2474000;"Powiat m.Siemianowice Śląskie";100,00;
2475000;"Powiat m.Sosnowiec";100,00;
2476000;"Powiat m.Świętochłowice";100,00;
2477000;"Powiat m.Tychy";100,00;
2478000;"Powiat m.Zabrze";100,00;
2479000;"Powiat m.Żory";100,00;
2601000;"Powiat buski";27,40;
2602000;"Powiat jędrzejowski";30,41;
2603000;"Powiat kazimierski";21,02;
2604000;"Powiat kielecki";8,86;
2605000;"Powiat konecki";34,75;
2606000;"Powiat opatowski";20,99;
2607000;"Powiat ostrowiecki";67,85;
2608000;"Powiat pińczowski";29,59;
2609000;"Powiat sandomierski";37,94;
2610000;"Powiat skarżyski";71,62;
2611000;"Powiat starachowicki";56,67;
2612000;"Powiat staszowski";38,21;
2613000;"Powiat włoszczowski";21,86;
2661000;"Powiat m.Kielce";100,00;
2801000;"Powiat bartoszycki";54,74;
2802000;"Powiat braniewski";54,05;
2803000;"Powiat działdowski";44,36;
2804000;"Powiat elbląski";29,02;
2805000;"Powiat ełcki";67,78;
2806000;"Powiat giżycki";56,37;
2807000;"Powiat iławski";57,54;
2808000;"Powiat kętrzyński";57,35;
2809000;"Powiat lidzbarski";59,14;
2810000;"Powiat mrągowski";50,44;
2811000;"Powiat nidzicki";41,33;
2812000;"Powiat nowomiejski";24,33;
2813000;"Powiat olecki";48,05;
2814000;"Powiat olsztyński";29,99;
2815000;"Powiat ostródzki";49,26;
2816000;"Powiat piski";59,05;
2817000;"Powiat szczycieński";40,93;
2818000;"Powiat gołdapski";51,50;
2819000;"Powiat węgorzewski";49,82;
2861000;"Powiat m.Elbląg";100,00;
2862000;"Powiat m.Olsztyn";100,00;
3001000;"Powiat chodzieski";63,65;
3002000;"Powiat czarnkowsko-trzcianecki";45,28;
3003000;"Powiat gnieźnieński";60,34;
3004000;"Powiat gostyński";42,33;
3005000;"Powiat grodziski";38,74;
3006000;"Powiat jarociński";42,07;
3007000;"Powiat kaliski";8,35;
3008000;"Powiat kępiński";24,52;
3009000;"Powiat kolski";35,90;
3010000;"Powiat koniński";13,36;
3011000;"Powiat kościański";45,42;
3012000;"Powiat krotoszyński";59,09;
3013000;"Powiat leszczyński";9,17;
3014000;"Powiat międzychodzki";44,69;
3015000;"Powiat nowotomyski";44,65;
3016000;"Powiat obornicki";48,13;
3017000;"Powiat ostrowski";51,51;
3018000;"Powiat ostrzeszowski";31,81;
3019000;"Powiat pilski";63,93;
3020000;"Powiat pleszewski";34,61;
3021000;"Powiat poznański";32,56;
3022000;"Powiat rawicki";46,69;
3023000;"Powiat słupecki";27,73;
3024000;"Powiat szamotulski";45,63;
3025000;"Powiat średzki";40,09;
3026000;"Powiat śremski";53,84;
3027000;"Powiat turecki";36,80;
3028000;"Powiat wągrowiecki";47,35;
3029000;"Powiat wolsztyński";22,07;
3030000;"Powiat wrzesiński";53,11;
3031000;"Powiat złotowski";49,67;
3061000;"Powiat m.Kalisz";100,00;
3062000;"Powiat m.Konin";100,00;
3063000;"Powiat m.Leszno";100,00;
3064000;"Powiat m.Poznań";100,00;
3201000;"Powiat białogardzki";68,28;
3202000;"Powiat choszczeński";47,29;
3203000;"Powiat drawski";62,90;
3204000;"Powiat goleniowski";53,40;
3205000;"Powiat gryficki";50,13;
3206000;"Powiat gryfiński";45,69;
3207000;"Powiat kamieński";51,31;
