"Kod";"Nazwa";"ogółem;2021;[zł]";
3025000;"Powiat średzki";22968526,21;
3026000;"Powiat śremski";31262063,62;
3027000;"Powiat turecki";41775402,72;
3028000;"Powiat wągrowiecki";34078712,73;
3029000;"Powiat wolsztyński";37274322,41;
3030000;"Powiat wrzesiński";53001401,96;
3031000;"Powiat złotowski";27613029,72;
3201000;"Powiat białogardzki";18560236,77;
3202000;"Powiat choszczeński";17570946,70;
3203000;"Powiat drawski";32479059,40;
3204000;"Powiat goleniowski";36971742,76;
3205000;"Powiat gryficki";19164980,25;
3206000;"Powiat gryfiński";27667741,14;
3207000;"Powiat kamieński";17821805,97;
3208000;"Powiat kołobrzeski";50979673,65;
3209000;"Powiat koszaliński";2879468,05;
3210000;"Powiat myśliborski";22889374,69;
3211000;"Powiat policki";39307569,05;
3212000;"Powiat pyrzycki";19849433,29;
3213000;"Powiat sławieński";23671290,87;
3214000;"Powiat stargardzki";72505351,14;
3215000;"Powiat szczecinecki";46964971,39;
3216000;"Powiat świdwiński";22715717,57;
3217000;"Powiat wałecki";33275357,22;
3218000;"Powiat łobeski";12567344,44;
