"","wojewodztwo_nazwa","powiat_nazwa","gmina_nazwa","zaszczepieni_pelna_dawka","przyrost_zaszczepionych_od_2021_08_01","liczba_ludnosci","zaszczepieni_pacjenci_jedna_dawka","zaszczepieni_pelna_dawka","grupa_wiekowa_12_19","grupa_wiekowa_20_39","grupa_wiekowa_40_59","grupa_wiekowa_60_69","grupa_wiekowa_70_plus"
"172","kujawsko-pomorskie","aleksandrowski","Bądkowo (w)","2396","15.02","4187","2436","2396","168","610","759","426","426"
"173","kujawsko-pomorskie","aleksandrowski","Ciechocinek (m)","6730","8.77","10534","6864","6730","366","1288","1803","1373","1373"
"174","kujawsko-pomorskie","aleksandrowski","Koneck (w)","1977","18.24","3103","2016","1977","158","511","635","332","332"
"175","kujawsko-pomorskie","aleksandrowski","Nieszawa (m)","1040","12.81","1834","1073","1040","60","238","340","207","207"
"176","kujawsko-pomorskie","aleksandrowski","Raciążek (w)","1846","11.49","3116","1887","1846","124","445","588","324","324"
"177","kujawsko-pomorskie","aleksandrowski","Waganiec (w)","2498","17","4564","2566","2498","166","695","821","460","460"
"178","kujawsko-pomorskie","aleksandrowski","Zakrzewo (w)","2094","13.33","3480","2140","2094","151","560","660","367","367"
"179","kujawsko-pomorskie","brodnicki","Bartniczka (w)","2726","16.99","4708","2784","2726","241","768","914","419","419"
"180","kujawsko-pomorskie","brodnicki","Bobrowo (w)","3422","15.5","6337","3499","3422","273","892","1102","592","592"
"181","kujawsko-pomorskie","brodnicki","Brodnica (m)","18206","13.54","28701","18512","18206","1403","4818","5642","3203","3203"
"182","kujawsko-pomorskie","brodnicki","Brodnica (w)","4618","12.85","8662","4691","4618","401","1384","1712","636","636"
"183","kujawsko-pomorskie","brodnicki","Brzozie (w)","2008","15.26","3828","2047","2008","146","548","658","337","337"
"184","kujawsko-pomorskie","brodnicki","Górzno (m-w)","2168","14.86","3931","2205","2168","148","616","691","389","389"
"185","kujawsko-pomorskie","brodnicki","Jabłonowo Pomorskie (m-w)","4368","14.57","8845","4464","4368","237","1145","1423","821","821"
"186","kujawsko-pomorskie","brodnicki","Osiek (w)","2064","12.98","4022","2101","2064","138","587","669","325","325"
"187","kujawsko-pomorskie","brodnicki","Świedziebnia (w)","2762","15.58","5116","2814","2762","241","777","860","436","436"
