county,Kod,population,WOJ.x,Feminization_index,w.wieku.przedprodukcyjnym.2021....,Working_age_population_share,w.wieku.poprodukcyjnym.2021....,Doctors_and_staff_per_10_thousand_people_in_2020,Population_per_1_square_km_in_2021,zaszczepieni_pelna_dawka,liczba_ludnosci,Fully_vaccinated_population,ludność,WOJ.y,Frekwencja,X..głosów.nieważnych,W.tym.z.powodu.postawienia.znaku..X..obok.nazwiska.dwóch.lub.większej.liczby.kandydatów.z.różnych.list,W.tym.z.powodu.niepostawienia.znaku..X..obok.nazwiska.żadnego.kandydata,W.tym.z.powodu.postawienia.znaku..X..wyłącznie.obok.nazwiska.kandydata.na.liście.której.rejestracja.została.unieważniona,X..głosów.ważnych,KOALICYJNY.KOMITET.WYBORCZY.KOALICJA.OBYWATELSKA.PO..N.IPL.ZIELONI...ZPOW.601.6.19,KOMITET.WYBORCZY.AKCJA.ZAWIEDZIONYCH.EMERYTÓW.RENCISTÓW...ZPOW.601.21.19,KOMITET.WYBORCZY.KONFEDERACJA.WOLNOŚĆ.I.NIEPODLEGŁOŚĆ...ZPOW.601.5.19,KOMITET.WYBORCZY.POLSKIE.STRONNICTWO.LUDOWE...ZPOW.601.19.19,KOMITET.WYBORCZY.PRAWICA...ZPOW.601.20.19,Votes_on_PiS_commission,KOMITET.WYBORCZY.SKUTECZNI.PIOTRA.LIROYA.MARCA...ZPOW.601.17.19,KOMITET.WYBORCZY.SOJUSZ.LEWICY.DEMOKRATYCZNEJ...ZPOW.601.1.19,KOMITET.WYBORCZY.WYBORCÓW.KOALICJA.BEZPARTYJNI.I.SAMORZĄDOWCY...ZPOW.601.10.19,KOMITET.WYBORCZY.WYBORCÓW.MNIEJSZOŚĆ.NIEMIECKA...ZPOW.601.15.19,Higher_education_population_share_in_2011,średnie,zasadnicze_zawodowe,podstawowe,Health_exp,Health_expenditure_per_1_person
kazimierski,2603000,33205,26,104,14.6,60.2,25.2,12,78,17377,33340,52.12,33205,26,48.51,1.26,58.72,41.28,0,98.74,11.36,0,4.9,17.89,0,59.06,0.59,5.6,0.6,0,0.0975169926480788,0.30604105978637813,0.23692606464142044,0.3595158829241226,10680427.24,321.6511742207499
kędzierzyńsko-kozielski,1603000,92493,16,108,15.1,60.2,24.7,40.4,147,47944,93001,51.55,92493,16,51.97,1.62,69.38,30.62,0,98.38,31.07,0,6.18,7.6,0,33.17,0,12.07,0,9.91,0.14554505899415937,0.32055453203193396,0.28794114956946676,0.2459592594044399,3670309.34,39.68202285578368
kępiński,3008000,56220,30,102,19.6,60.3,20.1,4.6,92,32678,56298,58.04,56220,30,60.96,1.54,68.67,31.33,0,98.46,33.41,0,5.5,9.61,0,43.26,0,8.22,0,0,0.10633652124546923,0.3001659461111839,0.35412026726057905,0.2393772653827678,767684.65,13.655009782995375
kętrzyński,2808000,61369,28,105,16.7,59.9,23.3,20.7,50,33489,61772,54.21,61369,28,48.77,1.83,71.11,28.89,0,98.17,20.86,0,6.3,17.31,0,39.47,0.6,15.46,0,0,0.12321516963027834,0.3309789437611849,0.21338004036096409,0.33242584624757265,4299802.2,70.06472649057342
kielecki,2604000,210689,26,101,19,62,19,27.7,94,105556,210992,50.03,210689,26,59.02,1.13,62.11,37.89,0,98.87,12.84,0,6.88,8.78,0,61.7,1.59,7.16,1.05,0,0.14156131231667138,0.27532268847838004,0.2505857481012125,0.33253025110373613,10052862.08,47.714223713625294
kluczborski,1604000,64714,16,105,15.5,61.4,23.1,31.7,76,33408,65026,51.38,64714,16,50.9,1.36,64.74,35.26,0,98.64,23.1,0,6.31,14.12,0,40.54,0,10.96,0,4.97,0.12772880329915628,0.3279293254133404,0.283398282320003,0.2609435889675003,2750203.76,42.49781747380783
kłobucki,2406000,83984,24,103,16.9,60.8,22.3,20.8,94,45665,84330,54.15,83984,24,58.62,1.47,72.34,27.66,0,98.53,14.35,0,6,19.17,0,47.3,0,11.22,1.95,0,0.12610942590720145,0.30422143579373107,0.30728288956297045,0.26238624873609706,2444754.89,29.109769598971234
kłodzki,208000,155075,2,108,15.2,58.4,26.4,43.1,94,82814,156283,52.99,155075,2,55.02,1.5,67.57,32.43,0,98.5,31.25,0,5.64,7.86,0,41.34,0,11.63,2.28,0,0.12008423819694412,0.3684898361537198,0.24037757830119635,0.27104834734813976,5628608.45,36.29604030307916
kolbuszowski,1806000,61836,18,101,17.6,63.5,18.9,26.6,80,19274,62039,31.07,61836,18,55.71,1.09,59.33,40.67,0,98.91,6.91,0,9.81,6.72,0,72.22,0.39,3.96,0,0,0.10107612949128424,0.28770900035574526,0.28286197082888653,0.32835289932408396,3283541.8,53.100811824826955
kolneński,2006000,37707,20,100,17.1,63.4,19.5,27.7,40,14413,37887,38.04,37707,20,50.37,1.63,71.43,28.57,0,98.37,6.49,0.28,5.61,13.01,0,68.39,0.31,5.51,0.4,0,0.10224278862392758,0.25964331554414644,0.19404850368168614,0.4440653921502398,2744047.54,72.77289468798897
kolski,3009000,85707,30,104,17.9,59.7,22.4,14.5,84,45090,86108,52.36,85707,30,55.89,1.69,66.67,33.33,0,98.31,15.12,0.42,5.77,9.43,0,58.17,0,11.09,0,0,0.10857103769067651,0.28504001641699156,0.26828100417265205,0.3381079417196799,4285739.04,50.004539185830794
kołobrzeski,3208000,78979,32,109,16.5,58.8,24.8,53.2,109,49288,79300,62.15,78979,32,61.32,1.57,63.52,36.48,0,98.43,33.71,0,5.41,7.29,0,36.34,0,17.26,0,0,0.17075812274368232,0.3563333856537435,0.23658766284727673,0.23632082875529745,1280703.86,16.2157517821193
konecki,2605000,78506,26,103,15.5,59,25.4,40.6,68,43353,79072,54.83,78506,26,55.82,1.27,60.39,39.61,0,98.73,12.21,0,5.15,8.04,0,60.56,1.1,12.28,0.66,0,0.12870379652569922,0.28344336717888496,0.25177939765420254,0.3360734386412133,7858422.75,100.09964525004459
koniński,3010000,129830,30,101,19.1,62.3,18.6,5.5,82,74720,129904,57.52,129830,30,55.75,1.78,70.08,29.92,0,98.22,14.25,0.51,5.4,10.02,0,59.12,0,10.69,0,0,0.10916516750133709,0.2657558224339962,0.29191423153595564,0.33316477852871107,6280342.78,48.3735868443349
koszaliński,3209000,66518,32,100,18,61.9,20.1,5.9,40,36278,66505,54.55,66518,32,55.05,2.15,70.92,29.08,0,97.85,28.28,0,7.08,11.86,0,37.18,0,15.59,0,0,0.12151535406755003,0.2791648645460622,0.2705540046396414,0.32876577674674634,5979717.65,89.89623335037133
kościański,3011000,78598,30,104,19.5,59.9,20.7,36.8,109,49769,78866,63.11,78598,30,59.86,2.17,61.77,38.23,0,97.83,26.25,0,6.3,15.91,0,38.63,0,12.91,0,0,0.12759790317607153,0.29688559975331485,0.3339808818994758,0.24153561517113784,2165927.98,27.557036820275325
kościerski,2206000,72951,22,100,22.2,59.4,18.4,49.2,62,40239,72923,55.18,72951,22,61.03,1.42,56.87,43.13,0,98.58,22.62,0,7.61,15.36,0,46.25,0,8.16,0,0,0.11516438862209087,0.30035094200221646,0.3138345031400074,0.2706501662356853,2559910,35.09081438225658
kozienicki,1407000,59363,14,102,17.3,58.7,23.9,37.8,65,30981,59592,51.99,59363,14,60.04,1.21,61.67,38.33,0,98.79,17.81,0,5.12,8.14,0,61.26,0.65,6.33,0.68,0,0.1366085394820694,0.3086341077187494,0.2442307320935442,0.31052662070563697,4980431.42,83.89790644003841
krakowski,1206000,282721,12,104,20.1,60.2,19.7,22,231,174304,281440,61.93,282721,12,65.44,1.01,54.62,45.38,0,98.99,22.69,0,7.81,8.4,0.26,50.85,0,8.67,1.32,0,0.16840827980014275,0.31908160837497024,0.2751272900309303,0.2373828217939567,5741873.37,20.309327464178466
krapkowicki,1605000,63017,16,107,15.5,61.7,22.8,29,142,31619,63196,50.03,63017,16,46.15,2.16,76.35,23.65,0,97.84,25.58,0,5.95,8.43,0,29,0,9.95,0,21.1,0.12178531304259013,0.2768665100602594,0.31996731692370545,0.281380859973445,2483825.82,39.41517082691972
krasnostawski,606000,62165,6,106,15.4,58.5,26.1,35,60,31020,62552,49.59,62165,6,51.89,1.34,58.81,41.19,0,98.66,14.52,0,6.02,9.78,0,61.29,0,7.35,1.04,0,0.12170873927058057,0.33921263264640905,0.20129658469450581,0.3377820433885046,6358826.84,102.2895011662511
kraśnicki,607000,94022,6,106,16.1,59.6,24.4,32.9,93,43427,94531,45.94,94022,6,56,1.38,61.19,38.81,0,98.62,12.77,0,4.97,12.88,0,62.46,0,6.07,0.85,0,0.1278899506781751,0.3365572338676531,0.2343172009864365,0.3012356144677353,6635089.68,70.56954414924166
krośnieński,802000,54362,8,104,17.2,60.2,22.5,28.9,39,32355,54598,59.26,54362,8,53.13,1.86,74.76,25.24,0,98.14,27.31,0,5.23,22.39,0,31.67,0,13.41,0,0,0.04146043774195239,0.11675115500677653,0.0949988393773072,0.08986214797564938,2538539.62,46.69695044332438
krośnieński,1807000,111574,18,103,18.8,60.3,20.9,29.3,112,43614,111905,38.97,111574,18,57.49,1.22,58.87,41.13,0,98.78,13.64,0,7.05,7.66,0,65.96,0,5.69,0,0,0.08885877093800777,0.2128806655235157,0.177919714861212,0.177268268575579,3299088.33,29.56861213185868
krotoszyński,3012000,76782,30,104,19.7,59.6,20.7,22.1,107,43107,76998,55.98,76782,30,57.38,1.7,61.26,38.74,0,98.3,19.46,0,6.4,18.43,0,44.94,0,10.76,0,0,0.1167166881044257,0.3031934321058231,0.3447826846426246,0.23530719514712656,4333514.67,56.43920020317262
kutnowski,1002000,94917,10,108,16.1,58.3,25.6,35.3,106,57751,95516,60.46,94917,10,56.32,1.32,62.74,37.26,0,98.68,17.9,0,5.26,7.95,0,52.26,0,14.97,1.66,0,0.13292668757987686,0.33494829789706054,0.23026606250726153,0.3018589520158011,3078111.67,32.429508623323535
kwidzyński,2207000,82795,22,102,19.9,60.7,19.4,17,99,42852,82963,51.65,82795,22,53.13,1.63,69.19,30.81,0,98.37,32.1,0,7.91,5.31,0,39.31,0,15.37,0,0,0.12617394206168858,0.3369193853390329,0.25336490330372324,0.2835417692955553,2602208.6,31.42953801558065
legionowski,1408000,120654,14,108,21.3,58.4,20.2,44.5,311,79679,119882,66.46,120654,14,72.04,0.85,59.93,40.07,0,99.15,34.2,0,5.63,6.92,0,37.64,0,13.71,1.91,0,0.25502941347777974,0.3967965519249811,0.16831498631254005,0.17985904828469917,6180623.05,51.22601032705091
legnicki,209000,55026,2,104,18.1,60,21.9,11.3,74,29638,55110,53.78,55026,2,57.62,1.46,68.26,31.74,0,98.54,19.79,0,6.03,10.77,0,48.2,0,11.9,3.32,0,0.12289306438242609,0.31392189370912776,0.27083908998802614,0.29234595192042,4234332.4,76.95148475266238
leski,1821000,26255,18,103,16.3,61.3,22.4,34.1,31,10715,26375,40.63,26255,18,58.38,1.14,61.21,38.79,0,98.86,19.02,0,6.15,11.81,0,53.85,0,9.17,0,0,0.12795793163891322,0.3277339565683124,0.23551465576005454,0.30879345603271985,4493395.69,171.14437973719293
leszczyński,3013000,58255,30,101,22,60.7,17.3,6.7,73,31365,57911,54.16,58255,30,59.38,2.13,65.7,34.3,0,97.87,24.2,0,7.36,12.93,0,40.82,0,14.69,0,0,0.11361307694140635,0.2693068363237782,0.3594967474444206,0.25758333929039484,8000,0.1373272680456613
leżajski,1808000,68729,18,102,17.8,61.6,20.6,30,117,26711,68996,38.71,68729,18,58.11,0.83,62.12,37.88,0,99.17,8.55,0,7.95,5.42,0,74.16,0.29,3.63,0,0,0.13367574112408703,0.29766043041831036,0.2800453071905636,0.288618521267039,3500028.2,50.92505638085816
lęborski,2208000,65969,22,104,19.5,59.6,21,12.4,93,36547,66083,55.3,65969,22,58.69,1.35,64.1,35.9,0,98.65,34.94,0,7.8,9.56,0,34.83,0,12.86,0,0,0.13388233461822996,0.3151695674181365,0.2720671261145505,0.27888097184908306,3691556.14,55.958952538313454
lidzbarski,2809000,40641,28,104,17.4,60.4,22.2,23.7,44,22042,40852,53.96,40641,28,50.96,1.92,74.13,25.87,0,98.08,36.72,0,6.02,6.68,0,39.13,0,9.18,2.27,0,0.12494898256661419,0.3206518570345752,0.24674946067284706,0.3076496997259635,1693445.76,41.66840776555695
limanowski,1207000,132171,12,100,23.1,60.6,16.3,30,139,54480,132148,41.23,132171,12,62.04,1.22,62.55,37.45,0,98.78,7.23,0,6.86,10.9,0,71.82,0,3.2,0,0,0.11149644889313452,0.2927586493333887,0.2938073680275782,0.3019375337458986,5407057.47,40.90956011530517
lipnowski,408000,65213,4,101,19,61.7,19.4,22.2,64,34493,65450,52.7,65213,4,49.08,2.4,74.01,25.99,0,97.6,12.54,0,4.91,23.29,0,47.62,0,10.75,0.89,0,0.09019833906793248,0.2443479670695898,0.2689917313685576,0.39646196249392013,8340096.14,127.89008541241776
lipski,1409000,33428,14,102,16.7,58.4,24.9,28,45,16440,33598,48.93,33428,14,52.46,1.43,60,40,0,98.57,9.66,0,6.72,13.02,0,62.34,0.55,6.94,0.76,0,0.11976721116328286,0.30454335030751933,0.2442298789762582,0.3314595595529396,4380621.74,131.04648019624267
lubaczowski,1809000,54444,18,102,16.6,61.9,21.4,31.6,41,25589,54711,46.77,54444,18,53.16,1.39,74.25,25.75,0,98.61,6.41,0,6.92,14.35,0,64.09,0,8.23,0,0,0.12608512244399547,0.2870495770520193,0.26498079527541574,0.32188450522856954,2004344,36.81478216148703
lubański,210000,53488,2,106,15.7,59.6,24.6,24.9,124,29989,53852,55.69,53488,2,54.45,1.39,64.05,35.95,0,98.61,25.52,0,6.14,7.88,0,39.76,0,18.11,2.6,0,0.11911265806053664,0.349054941181654,0.27970656915010794,0.25212583160770147,3431201.66,64.14899902781933
lubartowski,608000,87490,6,105,18.1,60,21.8,20.4,68,37831,87850,43.06,87490,6,58.15,1.14,58.67,41.33,0,98.86,10.94,0,9.08,10.7,0,61.81,0,5.99,1.49,0,0.12709168284923356,0.2986544367778099,0.228828382156482,0.34542549821647456,3668055.94,41.92543079209052
lubelski,609000,156748,6,104,19.7,60.7,19.6,16.9,94,79671,156493,50.91,156748,6,60.77,0.96,60.79,39.21,0,99.04,14.74,0,7.21,12.72,0,58,0,6.09,1.24,0,0.15450066036777405,0.3147753056317518,0.23235632767787598,0.2983677063225981,5023678.96,32.049397504274374
lubiński,211000,105637,2,108,17.8,57.3,24.9,71.4,148,59351,105896,56.05,105637,2,62.35,0.99,69.58,30.42,0,99.01,20.54,0,5.81,4.61,0,48.96,0,14.03,6.03,0,0.17693707899038852,0.35284228588654043,0.2553477640838947,0.21487287103917635,1774635.14,16.79937086437517
lubliniecki,2407000,75826,24,104,18.1,60.9,21,46.9,92,38011,76109,49.94,75826,24,55.16,1.6,62.55,37.45,0,98.4,24.04,0,6.23,7.9,0,49.32,0,8.25,4.26,0,0.13187920609435316,0.3109862330475182,0.3202780719434291,0.23685648891469954,2057712.69,27.13729710125814
lwówecki,212000,45359,2,106,16.2,59.9,23.9,16.2,63,24581,45599,53.91,45359,2,51.75,1.93,64.64,35.36,0,98.07,21.16,0,6.34,13.74,0,39.99,0,16.21,2.56,0,0.10808949207887956,0.32248271639582643,0.30324753182479147,0.2661802597005026,2560199.26,56.44302696267554
łańcucki,1810000,81107,18,103,20,59.8,20.2,32.7,179,35799,81226,44.07,81107,18,62.48,0.8,50.47,49.53,0,99.2,10.29,0,8.53,7.24,0,68.91,0.5,4.53,0,0,0.16510262537386652,0.34974917314174486,0.237090724945008,0.2480574765393806,4776619.92,58.89281960866509
łaski,1003000,49583,10,106,17.2,59.6,23.2,50.9,80,26773,49736,53.83,49583,10,61.15,1.19,67.46,32.54,0,98.81,21.27,0,6.62,9.43,0,50.15,0,10.72,1.81,0,0.13420941276035545,0.31661103013775915,0.251163665428558,0.29801589167332737,1329792.76,26.819530080874493
łęczycki,1004000,48979,10,106,16.7,58.9,24.4,47.1,63,28340,49286,57.5,48979,10,54.66,1.74,55.7,44.3,0,98.26,14.23,0,4.88,11.91,0,57.62,0,10.01,1.34,0,0.10981281905842315,0.2878956324446965,0.22091888825865003,0.3813726602382303,1276403.74,26.06022458604708
łęczyński,610000,57053,6,104,19.5,61.3,19.2,49.6,89,25118,57218,43.9,57053,6,57.24,1.13,66.43,33.57,0,98.87,17.27,0,7.72,8.08,0,60.12,0,5.41,1.41,0,0.14329024015245026,0.34623963273349356,0.23742393728751163,0.27304618982654455,2645306.97,46.365782167458335
łobeski,3218000,36251,32,101,17.4,59.7,23,14.5,34,20240,36486,55.47,36251,32,48.24,2.3,75.16,24.84,0,97.7,28.01,0,5.31,14.53,0,40.57,0,11.58,0,0,0.09359265475367756,0.27755290091157403,0.269358607299174,0.3594958370355744,1685744.52,46.502014289260984
łomżyński,2007000,50666,20,97,18.4,62.4,19.2,1.2,37,20118,50819,39.59,50666,20,54.1,1.28,59.22,40.78,0,98.72,8.83,0.23,5.87,9.38,0,71.53,0.26,3.29,0.62,0,0.09495037795032653,0.24085977271558595,0.23178382269758832,0.4324060266364992,2741829.68,54.11577152330952
łosicki,1410000,30347,14,101,18.5,58.3,23.3,48.8,39,13787,30556,45.12,30347,14,57.69,1.3,58.82,41.18,0,98.7,6.49,0.29,7.05,13.06,0,66.55,0,5.16,1.4,0,0.11787114431540795,0.2910348398550189,0.22860418670019972,0.3624898291293735,776586,25.590206610208586
łowicki,1005000,77167,10,107,17.7,58.6,23.7,63.6,78,46229,77614,59.56,77167,10,59.77,1.53,62.65,37.35,0,98.47,11.37,0,5.59,13.22,0,56.11,0,12.61,1.1,0,0.1336770419393438,0.31755129777081825,0.24064526612796006,0.30812639416187787,3040850.13,39.40609496287273
łódzki wschodni,1006000,72690,10,108,19,59.3,21.8,31.3,146,42617,72565,58.73,72690,10,67.93,0.97,58.51,41.49,0,99.03,26.99,0,7.74,7.67,0,44.59,0,13.02,0,0,0.1562577403488907,0.35097838009978416,0.21053748982697004,0.2822263897243551,1701704.44,23.410433897372403
łukowski,611000,105852,6,101,20.6,59.2,20.3,42.9,76,46038,106213,43.34,105852,6,59.59,1.29,63.81,36.19,0,98.71,8.89,0,6.01,10.51,0,68.02,0,4.87,1.7,0,0.12343592245124843,0.28975281051831514,0.250172998604667,0.33663826842576944,14584831.66,137.78513074859237
M.Biała Podlaska,661000,56760,6,109,18.1,59.1,22.8,107.1,1144,30822,56942,54.13,56760,6,61.67,0.64,54.55,45.45,0,99.36,32.31,0,6.69,5.76,0,48.13,0,6.12,0.98,0,0.24556465370180824,0.4087128966223132,0.18155066530194472,0.16417178437393382,0,0
M.Białystok,2061000,296401,20,113,18.3,59,22.7,124.3,2895,166107,296958,55.94,296401,20,65.72,0.62,49.89,50.11,0,99.38,30.29,0.33,8.43,5.22,0,40.3,0.52,13.99,0.91,0,0.29906578019111957,0.40079526262906984,0.13914958205955918,0.1609893751202514,0,0
M.Bielsko-Biała,2461000,168835,24,112,17.6,56,26.4,115.5,1352,105127,169756,61.93,168835,24,67.5,0.68,49.42,50.58,0,99.32,34.4,0,7.26,5.28,0,39.35,0,13.71,0,0,0.2306578735724626,0.3772754928631872,0.2384555671335958,0.1536110664307544,0,0
M.Bydgoszcz,461000,341692,4,113,15.9,57.2,26.9,136.4,1927,224402,344091,65.22,341692,4,66.77,0.65,57.47,42.53,0,99.35,34.74,0,7.46,5.52,0,31.94,0,19.23,1.11,0,0.2216118663299525,0.3495358591110367,0.2136691625235863,0.21518311203542453,0,0
M.Bytom,2462000,162250,24,110,15.9,59.1,25,66.5,2321,91590,163255,56.1,162250,24,56.45,1.17,59.36,40.64,0,98.83,29.2,0,6.89,5.8,0,39,0,15.6,3.51,0,0.1502293181330806,0.3500439267012085,0.28316465941241986,0.21656209575329105,0,0
M.Chełm,662000,60738,6,114,15.1,58.2,26.7,64.8,1707,33571,61135,54.91,60738,6,56.75,0.82,58.12,41.88,0,99.18,29.32,0,6.3,6.2,0,46.16,0,11.06,0.96,0,0.23922493869361672,0.40852344504718735,0.16457977260905104,0.18767184365014491,0,0
M.Chorzów,2463000,106272,24,111,17.4,58.9,23.7,97.2,3178,63584,106846,59.51,106272,24,60.41,1.12,53.26,46.74,0,98.88,41.97,0,7.76,4.49,0,33.28,0,12.5,0,0,0.15469690606187878,0.3482376506316028,0.2735437598940329,0.2235216834124856,0,0
M.Częstochowa,2464000,215905,24,114,15.3,56.4,28.3,97.8,1342,134088,217530,61.64,215905,24,65.85,0.69,51.34,48.66,0,99.31,28.45,0,6.05,4.19,0,37.37,0,21.06,2.89,0,0.23308373803669763,0.39574909068742,0.19596448092983562,0.17520269034604677,0,0
M.Dąbrowa Górnicza,2465000,117516,24,109,15.8,56.7,27.5,54.5,620,74957,118285,63.37,117516,24,63.89,0.81,54.19,45.81,0,99.19,28.35,0,6.14,4.28,0,35.59,0,25.64,0,0,0.1940563525068922,0.3971870473342367,0.22070931264894164,0.18804728750992944,0,0
M.Elbląg,2861000,117952,28,109,16.3,58.7,25,78.3,1471,71828,118582,60.57,117952,28,60.04,0.88,57.11,42.89,0,99.12,34.81,0,5.47,6.27,0,35.72,0,15.61,2.13,0,0.2046004965293611,0.3628818969448244,0.23406799412271367,0.19844961240310077,0,0
M.Gdańsk,2261000,470633,22,111,18.3,57.2,24.5,106.5,1797,337198,470805,71.62,470633,22,72.54,0.53,50.07,49.93,0,99.47,47.99,0,7.07,3.75,0,26.69,0,14.51,0,0,0.2921327743578858,0.3921646147314795,0.16283697728720017,0.15286563362343453,0,0
M.Gdynia,2262000,244104,22,112,16.5,56.8,26.7,77.7,1805,167833,244969,68.51,244104,22,72.5,0.62,43.67,56.33,0,99.38,45.63,0,7.38,5.63,0,25.85,0,15.51,0,0,0.291813645570871,0.40124005730942147,0.16557482337829157,0.14137147374141593,0,0
M.Gliwice,2466000,176009,24,109,16.9,57.1,26,94.8,1308,110467,177049,62.39,176009,24,65.73,0.86,51.49,48.51,0,99.14,39.25,0,7.51,4.86,0,31.7,0,13.61,3.07,0,0.23597533953755115,0.38850655613774404,0.20496076744610411,0.17055733687860067,0,0
M.Gorzów Wielkopolski,861000,121714,8,111,17.3,57.3,25.4,79.5,1401,77253,122589,63.02,121714,8,61.82,0.98,55.65,44.35,0,99.02,39.18,0,7.49,5.61,0,32.57,0,15.14,0,0,0.21942571437108452,0.37984920769299724,0.22064081750545303,0.18008426043046522,0,0
M.Grudziądz,462000,92894,4,111,17.5,57.3,25.2,71.2,1602,56924,93564,60.84,92894,4,57.49,1.11,62.5,37.5,0,98.89,30.9,0,6.32,7.94,0,34.31,0,19.52,1.01,0,0.13251812882127115,0.3284989809943599,0.2573937153419593,0.2815891748424096,0,0
M.Jastrzębie-Zdrój,2467000,87322,24,105,17,59.3,23.7,60.7,1015,46839,88038,53.2,87322,24,60.94,0.95,55.05,44.95,0,99.05,23.23,0,7.2,4.37,0,53.33,0,10.6,1.26,0,0.12186150647689109,0.30707926861773016,0.32782930859853937,0.24322991630683938,0,0
M.Jaworzno,2468000,89827,24,107,16.5,59.8,23.8,60.1,586,52785,90368,58.41,89827,24,61.9,0.97,60.42,39.58,0,99.03,31.81,0,7.06,6.09,0,40.72,0,14.32,0,0,0.16932194748916646,0.37341320418047413,0.24222533775172062,0.2150395105786388,0,0
M.Jelenia Góra,261000,77807,2,115,14.7,55.3,30,79,708,47399,78335,60.51,77807,2,62.9,0.85,49.7,50.3,0,99.15,34.81,0,5.23,5.39,0,31.11,0,21.93,1.52,0,0.20414363049988482,0.40596924671734624,0.21252303616678184,0.1773640866159871,0,0
M.Kalisz,3061000,98447,30,115,16.8,56.6,26.6,60.7,1410,58310,99106,58.84,98447,30,65.2,0.79,54.89,45.11,0,99.21,30.11,0,6.46,7.04,0,34.68,0,21.7,0,0,0.21558874223512672,0.3716034101819612,0.20789616759401713,0.20491167998889492,0,0
M.Katowice,2469000,289162,24,111,15.1,57.8,27.2,199.4,1743,193188,290553,66.49,289162,24,67.55,0.82,54.7,45.3,0,99.18,40.93,0,7.26,3.95,0,33.83,0,14.02,0,0,0.25187524224253893,0.37480145611515164,0.20509108319463762,0.1682322184476718,0,0
M.Kielce,2661000,192468,26,114,16,56.8,27.2,150.4,1746,118775,193415,61.41,192468,26,66.75,0.66,51.28,48.72,0,99.34,29.83,0,6.63,5.74,0,39.94,2.37,14.45,1.04,0,0,0,0,0,0,0
M.Konin,3062000,71935,30,112,15.2,57.3,27.5,78.9,868,45711,72539,63.02,71935,30,63.21,0.92,68.93,31.07,0,99.08,27.68,0.64,5.42,6.09,0,42.22,0,17.95,0,0,0.21923017705927636,0.3801847575057737,0.20719014626635873,0.19339491916859122,0,0
M.Koszalin,3261000,105801,32,113,16.5,55.8,27.6,73,1068,64856,106235,61.05,105801,32,65.27,1.01,63.38,36.62,0,98.99,38.39,0,5.96,7.75,0,29.59,0,18.32,0,0,0.2625703384169469,0.40273767874732513,0.16804229928784123,0.16664968354788673,0,0
M.Kraków,1261000,780796,12,114,17.8,58.3,23.9,173.4,2393,555503,779966,71.22,780796,12,71.21,0.56,44.11,55.89,0,99.44,35.3,0,8.31,6.25,0.29,33.22,0,15.11,1.52,0,0.3427985924840976,0.3911347168415834,0.14242620472929218,0.12364048594502679,0,0
M.Krosno,1861000,45715,18,113,16.3,57,26.6,106,1017,22253,45944,48.44,45715,18,60.77,0.64,55.56,44.44,0,99.36,27.83,0,7.8,5.03,0,47.94,0,11.39,0,0,0,0,0,0,0,0
M.Legnica,262000,97958,2,112,16.7,57.6,25.7,51.9,1729,57111,98436,58.02,97958,2,59.87,0.74,51.82,48.18,0,99.26,28.32,0,6.35,4.98,0,39.72,0,17.41,3.22,0,0.205726723909854,0.3811722827524833,0.21472208192029246,0.19837891141737019,0,0
M.Leszno,3063000,62429,30,110,18.2,57.1,24.7,61.9,1952,39297,62854,62.52,62429,30,65.45,0.98,53.4,46.6,0,99.02,36.14,0,7.41,6.46,0,28.11,0,21.87,0,0,0.21953074495189565,0.3836939574856448,0.23709928889226908,0.15967600867019052,0,0
M.Lublin,663000,337788,6,117,17.5,57.7,24.8,195.3,2281,206686,338586,61.04,337788,6,66.24,0.59,48.83,51.17,0,99.41,31.9,0,7.79,5.55,0,42.52,0,10.82,1.42,0,0.3352512616390646,0.40602032838154806,0.12257090056151823,0.13615750941786908,0,0
M.Łomża,2062000,62278,20,111,18,58.9,23.1,54,1898,30742,62573,49.13,62278,20,58.48,0.67,49.18,50.82,0,99.33,24.11,0.36,6.38,6.69,0,54.03,0.32,6.91,1.2,0,0.2283524418825616,0.3799539705664999,0.18073942695466735,0.2109541605962712,0,0
M.Łódź,1061000,667923,10,119,15.4,55.4,29.2,128,2265,449562,672185,66.88,667923,10,68.66,0.69,50.26,49.74,0,99.31,37.53,0,6.53,3.9,0,30.82,0,21.23,0,0,0.23875951303542964,0.4058916542397285,0.1574278809070808,0.1979209518177611,0,0
M.Mysłowice,2470000,74413,24,108,18.5,59.5,22.1,49.9,1129,45046,74559,60.42,74413,24,63.85,0.83,62.63,37.37,0,99.17,33.76,0,6.78,5.03,0,43.39,0,11.04,0,0,0.16565643538818675,0.3695834408047459,0.27696995099303584,0.18779017281403146,0,0
M.Nowy Sącz,1262000,83274,12,109,19.1,58.6,22.3,87.4,1443,42626,83558,51.01,83274,12,64.93,0.68,53.21,46.79,0,99.32,22.49,0,7.01,4.84,0,52.42,0,13.24,0,0,0.23466852502726943,0.42723609259483697,0.19923342625136348,0.13886195612653013,0,0
M.Olsztyn,2862000,170622,28,115,17.6,57.9,24.5,115,1922,108332,171249,63.26,170622,28,67.12,0.85,44.56,55.44,0,99.15,33.7,0,6.99,9.76,0,31.11,0.76,17.68,0,0,0.32014058898481007,0.4079729129980386,0.12466177039041361,0.1472247276267377,0,0
