wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
ma³opolskie;Nowy S¹cz;98364;26;34787;1;t1262;39536;3;175;0;23866;22
ma³opolskie;Tarnów;175410;71;61263;2;t1263;73424;1;362;1;40361;67
mazowieckie;bia³obrzeski;49675;8;19576;1;t1401;21717;1;489;0;7893;6
mazowieckie;ciechanowski;114555;37;43123;6;t1402;48047;2;750;0;22635;29
mazowieckie;garwoliñski;121161;10;46753;0;t1403;50832;1;256;0;23320;9
mazowieckie;gostyniñski;41354;23;15702;1;t1404;16511;2;209;0;8932;20
mazowieckie;grodziski;140461;27;50988;4;t1405;58390;4;692;0;30391;19
mazowieckie;grójecki;149886;28;56639;1;t1406;65328;0;677;0;27242;27
mazowieckie;kozienicki;65689;14;24198;1;t1407;26864;0;202;0;14425;13
mazowieckie;legionowski;131085;21;41004;3;t1408;51167;3;637;0;38277;15
mazowieckie;lipski;36780;10;14193;1;t1409;15711;0;171;0;6705;9
mazowieckie;³osicki;27237;3;10333;0;t1410;11202;0;422;0;5280;3
mazowieckie;makowski;59547;2;22203;0;t1411;26389;0;164;0;10791;2
mazowieckie;miñski;191628;52;68155;5;t1412;82485;6;636;0;40352;41
mazowieckie;m³awski;89107;2;33626;0;t1413;37410;1;676;0;17395;1
mazowieckie;nowodworski;156991;45;59194;2;t1414;71358;12;648;4;25791;27
mazowieckie;ostro³êcki;70344;0;27270;0;t1415;30312;0;218;0;12544;0
mazowieckie;ostrowski;73487;0;29103;0;t1416;29835;0;430;0;14119;0
mazowieckie;otwocki;146261;16;52335;0;t1417;56033;2;1723;6;36170;8
mazowieckie;piaseczyñski;372272;91;132502;7;t1418;155431;6;1474;3;82865;75
mazowieckie;p³ocki;116407;6;45785;1;t1419;50315;0;470;0;19837;5
mazowieckie;p³oñski;110561;9;42067;2;t1420;48275;0;265;0;19954;7
mazowieckie;pruszkowski;213894;51;75004;9;t1421;84373;4;1042;0;53475;38
mazowieckie;przasnyski;70047;0;27549;0;t1422;30145;0;241;0;12112;0
mazowieckie;przysuski;42893;0;15967;0;t1423;17672;0;365;0;8889;0
mazowieckie;pu³tuski;66399;7;25562;0;t1424;28154;0;604;0;12079;7
mazowieckie;radomski;95591;0;35637;0;t1425;39103;0;762;0;20089;0
mazowieckie;siedlecki;43496;3;17062;0;t1426;18211;0;277;0;7946;3
mazowieckie;sierpecki;62997;1;24428;0;t1427;26479;0;283;0;11807;1
mazowieckie;sochaczewski;120961;21;45624;5;t1428;50910;8;211;0;24216;8
mazowieckie;soko³owski;62721;1;23247;1;t1429;26302;0;150;0;13022;0
mazowieckie;szyd³owiecki;32226;2;10876;0;t1430;14859;0;49;0;6442;2
mazowieckie;warszawski zachodni;183015;59;64118;4;t1432;70706;3;653;1;47538;51
mazowieckie;wêgrowski;67069;0;25782;0;t1433;27905;0;352;0;13030;0
