wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
ma³opolskie;chrzanowski;3;0;3;0.24;0;0.24;0;0;0;9;0;0;23;3;20;0;t1203;2022-05-12
ma³opolskie;d¹browski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t1204;2022-05-12
ma³opolskie;gorlicki;0;0;0;0;0;0;0;0;0;1;0;0;12;0;12;0;t1205;2022-05-12
ma³opolskie;krakowski;6;1;7;0.21;0.04;0.25;0;0;0;8;0;0;104;7;97;0;t1206;2022-05-12
ma³opolskie;limanowski;1;0;1;0.08;0;0.08;0;0;0;3;0;0;36;1;35;0;t1207;2022-05-12
ma³opolskie;miechowski;4;0;4;0.82;0;0.82;0;0;0;1;0;0;14;4;10;0;t1208;2022-05-12
ma³opolskie;myœlenicki;1;0;1;0.08;0;0.08;0;0;0;2;0;0;17;1;16;0;t1209;2022-05-12
ma³opolskie;nowos¹decki;0;1;1;0;0.05;0.05;0;0;0;3;0;0;39;1;38;0;t1210;2022-05-12
ma³opolskie;nowotarski;2;0;2;0.10;0;0.10;0;0;0;1;0;0;52;3;49;0;t1211;2022-05-12
ma³opolskie;olkuski;2;0;2;0.18;0;0.18;0;0;0;6;0;0;19;2;17;0;t1212;2022-05-12
ma³opolskie;oœwiêcimski;2;0;2;0.13;0;0.13;0;0;0;2;0;0;30;2;28;0;t1213;2022-05-12
ma³opolskie;proszowicki;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;t1214;2022-05-12
ma³opolskie;suski;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;0;t1215;2022-05-12
ma³opolskie;tarnowski;8;1;9;0.40;0.05;0.45;0;0;0;10;0;0;46;10;35;1;t1216;2022-05-12
ma³opolskie;tatrzañski;1;0;1;0.15;0;0.15;0;0;0;4;0;0;35;1;34;0;t1217;2022-05-12
ma³opolskie;wadowicki;0;0;0;0;0;0;0;0;0;2;0;0;20;0;20;0;t1218;2022-05-12
ma³opolskie;wielicki;2;0;2;0.15;0;0.15;0;0;0;1;0;0;30;2;28;0;t1219;2022-05-12
ma³opolskie;Kraków;28;3;31;0.36;0.04;0.40;0;0;0;35;2;0;413;32;381;0;t1261;2022-05-12
ma³opolskie;Nowy S¹cz;0;0;0;0;0;0;0;0;0;0;0;0;24;0;24;0;t1262;2022-05-12
ma³opolskie;Tarnów;6;0;6;0.55;0;0.55;0;0;0;8;0;0;37;6;31;0;t1263;2022-05-12
mazowieckie;bia³obrzeski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t1401;2022-05-12
mazowieckie;ciechanowski;1;0;1;0.11;0;0.11;0;0;0;0;0;0;14;2;12;0;t1402;2022-05-12
mazowieckie;garwoliñski;1;0;1;0.09;0;0.09;0;0;0;1;0;0;15;1;14;0;t1403;2022-05-12
mazowieckie;gostyniñski;1;0;1;0.22;0;0.22;0;0;0;1;0;0;12;1;11;0;t1404;2022-05-12
mazowieckie;grodziski;1;0;1;0.10;0;0.10;0;0;0;1;0;0;18;1;17;0;t1405;2022-05-12
mazowieckie;grójecki;2;0;2;0.20;0;0.20;0;0;0;1;0;0;11;2;9;0;t1406;2022-05-12
mazowieckie;kozienicki;0;0;0;0;0;0;0;0;0;2;0;0;12;0;12;0;t1407;2022-05-12
mazowieckie;legionowski;2;0;2;0.17;0;0.17;0;0;0;7;0;0;32;2;30;0;t1408;2022-05-12
mazowieckie;lipski;0;0;0;0;0;0;0;0;0;1;0;0;6;0;6;0;t1409;2022-05-12
mazowieckie;³osicki;1;0;1;0.33;0;0.33;0;0;0;0;0;0;11;3;8;0;t1410;2022-05-12
mazowieckie;makowski;1;0;1;0.22;0;0.22;0;0;0;1;0;0;8;1;7;0;t1411;2022-05-12
mazowieckie;miñski;3;0;3;0.19;0;0.19;0;0;0;4;0;0;48;3;45;0;t1412;2022-05-12
mazowieckie;m³awski;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t1413;2022-05-12
mazowieckie;nowodworski;0;0;0;0;0;0;0;0;0;0;0;0;21;0;21;0;t1414;2022-05-12
mazowieckie;ostro³êcki;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t1415;2022-05-12
mazowieckie;ostrowski;1;0;1;0.14;0;0.14;0;0;0;0;0;0;21;1;20;0;t1416;2022-05-12
mazowieckie;otwocki;1;0;1;0.08;0;0.08;0;0;0;1;0;0;35;1;34;0;t1417;2022-05-12
mazowieckie;piaseczyñski;0;1;1;0;0.05;0.05;0;0;0;1;0;0;52;2;50;0;t1418;2022-05-12
mazowieckie;p³ocki;0;1;1;0;0.09;0.09;0;0;0;0;0;0;24;1;23;0;t1419;2022-05-12
mazowieckie;p³oñski;1;0;1;0.12;0;0.12;0;0;0;2;0;0;68;1;67;0;t1420;2022-05-12
mazowieckie;pruszkowski;2;1;3;0.12;0.06;0.18;0;0;0;2;0;0;37;3;34;0;t1421;2022-05-12
mazowieckie;przasnyski;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;t1422;2022-05-12
mazowieckie;przysuski;2;0;2;0.48;0;0.48;0;0;0;1;0;0;4;2;2;0;t1423;2022-05-12
mazowieckie;pu³tuski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t1424;2022-05-12
mazowieckie;radomski;4;0;4;0.26;0;0.26;0;0;0;2;0;0;28;4;24;0;t1425;2022-05-12
mazowieckie;siedlecki;1;0;1;0.12;0;0.12;0;0;0;0;0;0;17;1;16;0;t1426;2022-05-12
mazowieckie;sierpecki;1;0;1;0.19;0;0.19;0;0;0;1;0;0;5;1;4;0;t1427;2022-05-12
mazowieckie;sochaczewski;1;0;1;0.12;0;0.12;0;0;0;2;0;0;10;1;9;0;t1428;2022-05-12
mazowieckie;soko³owski;0;0;0;0;0;0;0;0;0;1;0;0;8;0;8;0;t1429;2022-05-12
mazowieckie;szyd³owiecki;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;t1430;2022-05-12
mazowieckie;warszawski zachodni;3;0;3;0.25;0;0.25;0;0;0;7;0;0;33;3;30;0;t1432;2022-05-12
mazowieckie;wêgrowski;0;0;0;0;0;0;0;0;0;2;0;0;14;0;14;0;t1433;2022-05-12
mazowieckie;wo³omiñski;2;1;3;0.08;0.04;0.12;0;0;0;6;0;0;59;5;54;0;t1434;2022-05-12
mazowieckie;wyszkowski;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;t1435;2022-05-12
mazowieckie;zwoleñski;0;0;0;0;0;0;0;0;0;4;0;0;7;0;7;0;t1436;2022-05-12
mazowieckie;¿uromiñski;0;0;0;0;0;0;0;0;0;2;0;0;4;1;3;0;t1437;2022-05-12
mazowieckie;¿yrardowski;1;0;1;0.13;0;0.13;0;0;0;1;0;0;10;1;9;0;t1438;2022-05-12
mazowieckie;Ostro³êka;0;0;0;0;0;0;0;0;0;4;0;0;15;0;15;0;t1461;2022-05-12
mazowieckie;P³ock;4;0;4;0.34;0;0.34;0;0;0;5;0;0;21;4;17;0;t1462;2022-05-12
mazowieckie;Radom;1;0;1;0.05;0;0.05;0;0;0;3;0;0;30;1;29;0;t1463;2022-05-12
mazowieckie;Siedlce;2;0;2;0.26;0;0.26;0;0;0;1;0;0;13;3;10;0;t1464;2022-05-12
mazowieckie;Warszawa;37;6;43;0.21;0.03;0.24;0;0;0;47;0;0;1285;51;1232;2;t1465;2022-05-12
opolskie;brzeski;1;0;1;0.11;0;0.11;0;0;0;2;0;0;15;1;14;0;t1601;2022-05-12
opolskie;g³ubczycki;4;0;4;0.88;0;0.88;0;0;0;5;0;0;15;4;11;0;t1602;2022-05-12
